tkszs_date,tkszs_gck
2014/6/16,112.9
2014/6/17,112.3
2014/6/18,112.1
2014/6/19,111.2
2014/6/20,111.2
2014/6/23,110.7
2014/6/24,110.7
2014/6/25,108.9
2014/6/26,108.9
2014/6/27,108.9
2014/6/30,108.9
2014/7/1,108.8
2014/7/2,108.8
2014/7/3,109.1
2014/7/4,109.1
2014/7/7,109.1
2014/7/8,109.2
2014/7/9,109.2
2014/7/10,109.2
2014/7/11,109.2
2014/7/14,109.6
2014/7/15,110.1
2014/7/16,110.6
2014/7/17,110.6
2014/7/18,111
2014/7/21,111.1
2014/7/22,110.7
2014/7/23,110.7
2014/7/24,110.7
2014/7/25,110.7
2014/7/28,110.7
2014/7/29,110.7
2014/7/30,110.7
2014/7/31,110.7
2014/8/1,110.7
2014/8/4,110.7
2014/8/5,110.7
2014/8/6,110.7
2014/8/7,110.7
2014/8/8,110.7
2014/8/11,110.7
2014/8/12,110.7
2014/8/13,110.3
2014/8/14,110.3
2014/8/15,110.2
2014/8/18,110.2
2014/8/19,110.2
2014/8/20,110.1
2014/8/21,110.1
2014/8/22,110.1
2014/8/25,108.8
2014/8/26,108.8
2014/8/27,108.8
2014/8/28,108.8
2014/8/29,108.8
2014/9/1,108.8
2014/9/2,108.8
2014/9/3,108.8
2014/9/4,108.3
2014/9/5,108.3
2014/9/9,104.9
2014/9/10,104.9
2014/9/11,104.4
2014/9/12,103.6
2014/9/15,104.9
2014/9/16,103.3
2014/9/17,103.3
2014/9/18,103.3
2014/9/19,103.2
2014/9/22,103.1
2014/9/23,102.2
2014/9/24,101.9
2014/9/25,101.9
2014/9/26,101.9
2014/9/28,101.9
2014/9/29,101.9
2014/9/30,101.9
2014/10/8,103.3
2014/10/9,103.3
2014/10/10,103.3
2014/10/11,103.3
2014/10/13,102.2
2014/10/14,102.6
2014/10/15,102.6
2014/10/16,102.6
2014/10/17,102.6
2014/10/20,102.6
2014/10/21,102.6
2014/10/22,102.6
2014/10/23,102.6
2014/10/24,102.2
2014/10/27,101
2014/10/28,101
2014/10/29,100.9
2014/10/30,100.7
2014/10/31,100.7
2014/11/3,99.9
2014/11/4,99.9
2014/11/5,99.8
2014/11/6,99.8
2014/11/7,99.8
2014/11/10,99.4
2014/11/11,99.7
2014/11/12,101.6
2014/11/13,101.6
2014/11/14,101.2
2014/11/17,101.1
2014/11/18,98
2014/11/19,98
2014/11/20,98
2014/11/21,97.8
2014/11/24,97.8
2014/11/25,97.4
2014/11/26,97.4
2014/11/27,95.9
2014/11/28,95.7
2014/12/1,95.5
2014/12/2,95.5
2014/12/3,95.5
2014/12/4,95.5
2014/12/5,95.5
2014/12/8,92.3
2014/12/9,91.4
2014/12/10,91
2014/12/11,91
2014/12/12,91
2014/12/15,90.6
2014/12/16,90.1
2014/12/17,88.7
2014/12/18,88.3
2014/12/19,88
2014/12/22,85.8
2014/12/23,85.7
2014/12/24,85.7
2014/12/25,84.7
2014/12/26,84.3
2014/12/29,83.4
2014/12/30,83.4
2014/12/31,83.4
2015/1/4,83.3
2015/1/5,83.3
2015/1/6,83.3
2015/1/7,83.3
2015/1/8,83.3
2015/1/9,83.3
2015/1/12,83.3
2015/1/13,83.3
2015/1/14,83.1
2015/1/15,83.1
2015/1/16,83.1
2015/1/19,83.1
2015/1/20,83.1
2015/1/21,83.1
2015/1/22,83.1
2015/1/23,83.1
2015/1/26,83.2
2015/1/27,83.1
2015/1/28,83.1
2015/1/29,83
2015/1/30,83
2015/2/2,82.9
2015/2/3,82.9
2015/2/4,82.9
2015/2/5,82.9
2015/2/6,82.9
2015/2/9,82.9
2015/2/10,82.9
2015/2/11,83.2
2015/2/12,82.8
2015/2/13,82.8
2015/2/15,82.8
2015/2/16,82.8
2015/2/17,82.8
2015/2/25,82.8
2015/2/26,82.8
2015/2/27,82.8
2015/2/28,82.8
2015/3/2,82.8
2015/3/3,82.8
2015/3/4,82.8
2015/3/5,82.8
2015/3/6,82.8
2015/3/9,82.8
2015/3/10,82.8
2015/3/11,82.4
2015/3/12,82.4
2015/3/13,82.3
2015/3/16,82.3
2015/3/17,82.3
2015/3/18,82.3
2015/3/19,82.3
2015/3/20,82.3
2015/3/23,81.7
2015/3/24,81.7
2015/3/25,81.7
2015/3/26,81.7
2015/3/27,81.7
2015/3/30,81.3
2015/3/31,81.2
2015/4/1,81.2
2015/4/2,81.2
2015/4/3,80.6
2015/4/7,79.4
2015/4/8,79.4
