81967,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4150,-,全国,,2015-11-03
82021,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-50,全国,,2015-06-23
82038,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-,全国,,2015-06-26
82043,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-,全国,,2015-06-29
82061,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-,全国,,2015-06-24
82071,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4150,-,全国,,2015-10-30
82073,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4530,-,全国,,2015-06-19
82086,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-,全国,,2015-06-25
82122,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4480,-,全国,,2015-06-30
82138,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4550,-,全国,,2015-06-17
82139,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4530,-20,全国,,2015-06-18
82141,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4550,-,全国,,2015-06-16
82225,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4380,-,全国,,2015-07-13
82226,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4380,-,全国,,2015-07-14
82257,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-06-01
82273,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-27
82276,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-29
82278,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-26
82325,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-19
82333,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-25
82336,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-22
82342,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-28
82369,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4380,-20,全国,,2015-07-10
82371,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-21
82376,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4600,-,全国,,2015-05-20
82440,弹簧钢,60Si2Mn,热轧,Φ5.5-14,沙钢,4400,-,全国,,2015-07-07
